chemical.id,endpoint,concentration,response
DTXSID7020182,Tox21_202992,0,0.0247
DTXSID7020183,Tox21_202993,0,0.0004
DTXSID7020184,Tox21_202994,0,0.0097
DTXSID7020185,Tox21_202995,0.003,0.0157
DTXSID7020186,Tox21_202996,0.003,0
DTXSID7020187,Tox21_202997,0.003,0
DTXSID7020188,Tox21_202998,0.007,0.04
DTXSID7020189,Tox21_202999,0.007,0.0423
DTXSID7020190,Tox21_203000,0.007,0
DTXSID7020191,Tox21_203001,0.01,0.0606
DTXSID7020192,Tox21_203002,0.01,0.0234
DTXSID7020193,Tox21_203003,0.01,0
DTXSID7020194,Tox21_203004,0.03,0.1037
DTXSID7020195,Tox21_203005,0.03,0.0175
DTXSID7020196,Tox21_203006,0.03,0
DTXSID7020197,Tox21_203007,0.07,0.0097
DTXSID7020198,Tox21_203008,0.07,0
DTXSID7020199,Tox21_203009,0.1,0.0559
DTXSID7020200,Tox21_203010,0.1,0.0111
DTXSID7020201,Tox21_203011,0.1,0
DTXSID7020202,Tox21_203012,0.3,0.0158
DTXSID7020203,Tox21_203013,0.3,0
DTXSID7020204,Tox21_203014,0.3,0
DTXSID7020205,Tox21_203015,0.7,0.0165
DTXSID7020206,Tox21_203016,0.7,0
DTXSID7020207,Tox21_203017,0.7,0
DTXSID7020208,Tox21_203018,2,0.0827
DTXSID7020209,Tox21_203019,2,0.0271
DTXSID7020210,Tox21_203020,2,0
DTXSID7020211,Tox21_203021,4,0
DTXSID7020212,Tox21_203022,4,0
DTXSID7020213,Tox21_203023,4,0
DTXSID7020214,Tox21_203024,8,0.0542
DTXSID7020215,Tox21_203025,8,0
DTXSID7020216,Tox21_203026,8,0
DTXSID7020217,Tox21_203027,20,0.0697
DTXSID7020218,Tox21_203028,20,0
DTXSID7020219,Tox21_203029,20,0
DTXSID7020220,Tox21_203030,40,0.5292
DTXSID7020221,Tox21_203031,40,0.1713
DTXSID7020222,Tox21_203032,40,0.0747
DTXSID7020223,Tox21_203033,90,1
DTXSID7020224,Tox21_203034,90,1
DTXSID7020225,Tox21_203035,90,0.9322
Chemical2,Endpoint1,0,0
Chemical2,Endpoint1,2,0.04
Chemical2,Endpoint1,8,0.06
Chemical2,Endpoint1,10,0.28
Chemical2,Endpoint1,20,0.8
Chemical2,Endpoint1,40,0.9
Chemical2,Endpoint2,0,0
Chemical2,Endpoint2,2,0
Chemical2,Endpoint2,8,0.08
Chemical2,Endpoint2,10,0.06
Chemical2,Endpoint2,20,0.1
Chemical2,Endpoint2,40,0.15
