chemical.id,conc,plate.id,well,endpoint,value
3757,10,19890,D11,MO24,0
3757,10,19890,D12,MO24,0
3757,12.3,19877,C01,MO24,0
3757,12.3,19877,C02,MO24,0
3757,12.3,19877,C03,MO24,0
3757,12.3,19877,C04,MO24,0
3757,12.3,19877,C05,MO24,0
3757,12.3,19877,C06,MO24,0
3757,12.3,19877,C07,MO24,0
3757,12.3,19877,C08,MO24,0
3757,12.3,19877,C09,MO24,0
3757,12.3,19877,C10,MO24,0
3757,12.3,19877,C11,MO24,0
3757,12.3,19877,C12,MO24,0
3757,12.3,19878,C01,MO24,0
3757,12.3,19878,C02,MO24,0
3757,12.3,19878,C03,MO24,0
3757,12.3,19878,C04,MO24,1
3757,12.3,19878,C05,MO24,0
3757,12.3,19878,C06,MO24,0
3757,12.3,19878,C07,MO24,0
3757,12.3,19878,C08,MO24,0
3757,12.3,19878,C09,MO24,0
3757,12.3,19878,C10,MO24,1
3757,12.3,19878,C11,MO24,0
3757,12.3,19878,C12,MO24,0
3757,12.3,19890,C01,MO24,0
3757,12.3,19890,C02,MO24,0
3757,12.3,19890,C03,MO24,0
3757,12.3,19890,C04,MO24,0
3757,12.3,19890,C05,MO24,0
3757,12.3,19890,C06,MO24,0
3757,12.3,19890,C07,MO24,0
3757,12.3,19890,C08,MO24,0
3757,12.3,19890,C09,MO24,0
3757,12.3,19890,C10,MO24,0
3757,12.3,19890,C11,MO24,0
3757,12.3,19890,C12,MO24,0
3757,21.9,19877,B01,MO24,
3757,21.9,19877,B02,MO24,0
3757,21.9,19877,B03,MO24,0
3757,21.9,19877,B04,MO24,0
3757,21.9,19877,B05,MO24,0
3757,21.9,19877,B06,MO24,1
3757,21.9,19877,B07,MO24,0
3757,21.9,19877,B08,MO24,0
3757,21.9,19877,B09,MO24,0
3757,21.9,19877,B10,MO24,
3757,21.9,19877,B11,MO24,0
3757,21.9,19877,B12,MO24,0
3757,21.9,19878,B01,MO24,0
3757,21.9,19878,B02,MO24,0
3757,21.9,19878,B03,MO24,1
3757,21.9,19878,B04,MO24,1
3757,21.9,19878,B05,MO24,0
3757,21.9,19878,B06,MO24,0
3757,21.9,19878,B07,MO24,0
3757,21.9,19878,B08,MO24,0
3757,21.9,19878,B09,MO24,0
3757,21.9,19878,B10,MO24,0
3757,21.9,19878,B11,MO24,0
3757,21.9,19878,B12,MO24,0
3757,21.9,19890,B01,MO24,0
3757,21.9,19890,B02,MO24,0
3757,21.9,19890,B03,MO24,0
3757,21.9,19890,B04,MO24,0
3757,21.9,19890,B05,MO24,0
3757,21.9,19890,B06,MO24,0
3757,21.9,19890,B07,MO24,0
3757,21.9,19890,B08,MO24,0
3757,21.9,19890,B09,MO24,
3757,21.9,19890,B10,MO24,0
3757,21.9,19890,B11,MO24,0
3757,21.9,19890,B12,MO24,0
3757,30,19877,A01,MO24,0
3757,30,19877,A02,MO24,0
3757,30,19877,A03,MO24,0
3757,30,19877,A04,MO24,
3757,30,19877,A05,MO24,
3757,30,19877,A06,MO24,1
3757,30,19877,A07,MO24,1
3757,30,19877,A08,MO24,0
3757,30,19877,A09,MO24,1
3757,30,19877,A10,MO24,0
3757,30,19877,A11,MO24,0
3757,30,19877,A12,MO24,0
3757,30,19878,A01,MO24,0
3757,30,19878,A02,MO24,0
3757,30,19878,A03,MO24,1
3757,30,19878,A04,MO24,1
3757,30,19878,A05,MO24,0
3757,30,19878,A06,MO24,1
3757,30,19878,A07,MO24,0
3757,30,19878,A08,MO24,0
3757,30,19878,A09,MO24,1
3757,30,19878,A10,MO24,0
3757,30,19878,A11,MO24,1
3757,30,19878,A12,MO24,0
3757,30,19890,A01,MO24,0
3757,30,19890,A02,MO24,0
3757,30,19890,A03,MO24,
3757,30,19890,A04,MO24,1
3757,30,19890,A05,MO24,
3757,30,19890,A06,MO24,
3757,30,19890,A07,MO24,0
3757,30,19890,A08,MO24,0
3757,30,19890,A09,MO24,0
3757,30,19890,A10,MO24,0
3757,30,19890,A11,MO24,0
3757,30,19890,A12,MO24,0
3861,0,20581,A01,MO24,0
3861,0,20581,A02,MO24,0
3861,0,20581,A03,MO24,0
3861,0,20581,A04,MO24,0
3861,0,20581,A05,MO24,0
3861,0,20581,A06,MO24,0
3861,0,20581,A07,MO24,0
3861,0,20581,A08,MO24,0
3861,0,20581,A09,MO24,0
3861,0,20581,A10,MO24,0
3861,0,20581,A11,MO24,0
3861,0,20581,A12,MO24,0
3861,0,20618,A01,MO24,0
3861,0,20618,A02,MO24,0
3861,0,20618,A03,MO24,0
3861,0,20618,A04,MO24,0
3861,0,20618,A05,MO24,0
3861,0,20618,A06,MO24,0
3861,0,20618,A07,MO24,0
3861,0,20618,A08,MO24,1
3861,0,20618,A09,MO24,0
3861,0,20618,A10,MO24,0
3861,0,20618,A11,MO24,0
3861,0,20618,A12,MO24,0
3861,0,20619,A01,MO24,0
3861,0,20619,A02,MO24,1
3861,0,20619,A03,MO24,0
3861,0,20619,A04,MO24,0
3861,0,20619,A05,MO24,0
3861,0,20619,A06,MO24,0
3861,0,20619,A07,MO24,0
3861,0,20619,A08,MO24,0
3861,0,20619,A09,MO24,0
3861,0,20619,A10,MO24,0
3861,0,20619,A11,MO24,0
3861,0,20619,A12,MO24,0
3861,1,20581,B01,MO24,0
3861,1,20581,B02,MO24,0
3861,1,20581,B03,MO24,0
3861,1,20581,B04,MO24,0
3861,1,20581,B05,MO24,0
3861,1,20581,B06,MO24,0
3861,1,20581,B07,MO24,0
3861,1,20581,B08,MO24,0
3861,1,20581,B09,MO24,0
3861,1,20581,B10,MO24,0
3861,1,20581,B11,MO24,1
3861,1,20581,B12,MO24,0
3861,1,20618,B01,MO24,0
3861,1,20618,B02,MO24,1
3861,1,20618,B03,MO24,0
3861,1,20618,B04,MO24,0
3861,1,20618,B05,MO24,0
3861,1,20618,B06,MO24,0
3861,1,20618,B07,MO24,0
3861,1,20618,B08,MO24,0
3861,1,20618,B09,MO24,1
3861,1,20618,B10,MO24,0
3861,1,20618,B11,MO24,0
3861,1,20618,B12,MO24,0
3861,1,20619,B01,MO24,0
3861,1,20619,B02,MO24,0
3861,1,20619,B03,MO24,0
3861,1,20619,B04,MO24,0
3861,1,20619,B05,MO24,1
3861,1,20619,B06,MO24,0
3861,1,20619,B07,MO24,0
3861,1,20619,B08,MO24,0
3861,1,20619,B09,MO24,0
3861,1,20619,B10,MO24,0
3861,1,20619,B11,MO24,0
3861,1,20619,B12,MO24,0
3861,2.54,20581,C01,MO24,0
3861,2.54,20581,C02,MO24,1
3861,2.54,20581,C03,MO24,0
3861,2.54,20581,C04,MO24,1
3861,2.54,20581,C05,MO24,0
3861,2.54,20581,C06,MO24,0
3861,2.54,20581,C07,MO24,0
3861,2.54,20581,C08,MO24,
3861,2.54,20581,C09,MO24,0
3861,2.54,20581,C10,MO24,0
3861,2.54,20581,C11,MO24,0
3861,2.54,20581,C12,MO24,0
3861,2.54,20618,C01,MO24,1
3861,2.54,20618,C02,MO24,0
3861,2.54,20618,C03,MO24,0
3861,2.54,20618,C04,MO24,0
3861,2.54,20618,C05,MO24,0
3861,2.54,20618,C06,MO24,0
3861,2.54,20618,C07,MO24,1
3861,2.54,20618,C08,MO24,0
3861,2.54,20618,C09,MO24,1
3861,2.54,20618,C10,MO24,0
3861,2.54,20618,C11,MO24,1
3861,2.54,20618,C12,MO24,0
3861,2.54,20619,C01,MO24,0
3861,2.54,20619,C02,MO24,1
3861,2.54,20619,C03,MO24,0
3861,2.54,20619,C04,MO24,0
3861,2.54,20619,C05,MO24,1
3861,2.54,20619,C06,MO24,0
3861,2.54,20619,C07,MO24,0
3861,2.54,20619,C08,MO24,0
3861,2.54,20619,C09,MO24,0
3861,2.54,20619,C10,MO24,0
3861,2.54,20619,C11,MO24,0
3861,2.54,20619,C12,MO24,0
3861,6.45,20581,D01,MO24,0
3861,6.45,20581,D02,MO24,0
3861,6.45,20581,D03,MO24,0
3861,6.45,20581,D04,MO24,0
3861,6.45,20581,D05,MO24,0
3861,6.45,20581,D06,MO24,0
3861,6.45,20581,D07,MO24,0
3861,6.45,20581,D08,MO24,1
3861,6.45,20581,D09,MO24,1
3861,6.45,20581,D10,MO24,0
3861,6.45,20581,D11,MO24,0
3861,6.45,20581,D12,MO24,0
3861,6.45,20618,D01,MO24,0
3861,6.45,20618,D02,MO24,0
3861,6.45,20618,D03,MO24,1
3861,6.45,20618,D04,MO24,0
3861,6.45,20618,D05,MO24,1
3861,6.45,20618,D06,MO24,1
3861,6.45,20618,D07,MO24,0
3861,6.45,20618,D08,MO24,1
3861,6.45,20618,D09,MO24,0
3861,6.45,20618,D10,MO24,0
3861,6.45,20618,D11,MO24,1
3861,6.45,20618,D12,MO24,1
3861,6.45,20619,D01,MO24,0
3861,6.45,20619,D02,MO24,0
3861,6.45,20619,D03,MO24,0
3861,6.45,20619,D04,MO24,0
3861,6.45,20619,D05,MO24,0
3861,6.45,20619,D06,MO24,0
3861,6.45,20619,D07,MO24,0
3861,6.45,20619,D08,MO24,0
3861,6.45,20619,D09,MO24,0
