Chemical ID	Concentration_uM	Endpoint	Measurement
7	50	Endpoint1	187.9852012
7	50	Endpoint1	282.7709285
7	50	Endpoint1	181.8820934
7	50	Endpoint1	219.9793796
7	100	Endpoint1	385.4831233
7	100	Endpoint1	372.8073525
7	100	Endpoint1	512.3439622
7	100	Endpoint1	485.5672118
8	0	Endpoint1	106.6876743
8	0	Endpoint1	95.26031486
8	0	Endpoint1	107.9120222
8	0	Endpoint1	90.13998863
8	10	Endpoint1	322.5337133
8	10	Endpoint1	244.3423809
8	10	Endpoint1	259.7775629
8	10	Endpoint1	206.4739573
8	20	Endpoint1	368.1816519
8	20	Endpoint1	367.8439986
8	20	Endpoint1	423.4587209
8	20	Endpoint1	337.50683
8	50	Endpoint1	342.4007096
8	50	Endpoint1	473.504712
8	50	Endpoint1	429.7093048
8	50	Endpoint1	450.0291563
8	100	Endpoint1	445.7651525
8	100	Endpoint1	612.3076869
8	100	Endpoint1	598.3902239
8	100	Endpoint1	496.9804454
3	0	Endpoint1	106.6876743
3	0	Endpoint1	95.26031486
3	0	Endpoint1	107.9120222
3	0	Endpoint1	90.13998863
3	10	Endpoint1	250.7213109
3	10	Endpoint1	255.0312093
3	10	Endpoint1	240.4022618
3	20	Endpoint1	484.8066896
3	20	Endpoint1	395.6931949
3	20	Endpoint1	311.2724417
3	20	Endpoint1	440.1738114
3	50	Endpoint1	499.4664932
3	50	Endpoint1	333.5923532
3	50	Endpoint1	363.0554981
3	50	Endpoint1	500.2515092
3	100	Endpoint1	460.9619569
3	100	Endpoint1	317.6835475
3	100	Endpoint1	341.6681345
3	100	Endpoint1	431.3347519
12	0	Endpoint2	73.66532077
12	0	Endpoint2	109.2866756
12	0	Endpoint2	86.85509197
12	0	Endpoint2	130.1929116
12	2	Endpoint2	79.9461642
12	2	Endpoint2	57.24540153
12	2	Endpoint2	97.17362046
12	2	Endpoint2	53.20771646
12	10	Endpoint2	90.71332436
12	10	Endpoint2	68.99955137
12	10	Endpoint2	50.78510543
12	10	Endpoint2	83.44549125
12	50	Endpoint2	54.82279049
12	50	Endpoint2	88.91879767
12	50	Endpoint2	119.7846568
12	50	Endpoint2	112.2476447
12	200	Endpoint2	204.9349484
12	200	Endpoint2	185.7335128
12	200	Endpoint2	156.7519067
12	200	Endpoint2	188.9636608
6	0	Endpoint2	104.3214974
6	0	Endpoint2	96.83457198
6	0	Endpoint2	93.91687311
6	0	Endpoint2	104.9270575
6	0.2	Endpoint2	123.8095238
6	0.2	Endpoint2	101.073493
6	0.2	Endpoint2	76.41067988
6	0.2	Endpoint2	71.89650427
6	2	Endpoint2	64.57473163
6	2	Endpoint2	90.61381778
6	2	Endpoint2	89.23754473
6	2	Endpoint2	86.59510047
6	10	Endpoint2	99.80732177
6	10	Endpoint2	103.9911919
6	10	Endpoint2	109.3311313
6	10	Endpoint2	79.10817506
6	50	Endpoint2	214.3132397
6	50	Endpoint2	172.8048445
6	50	Endpoint2	189.8155794
6	50	Endpoint2	228.6264795
11	0	Endpoint2	104.3214974
11	0	Endpoint2	96.83457198
11	0	Endpoint2	93.91687311
11	0	Endpoint2	104.9270575
11	0.2	Endpoint2	70.52023121
11	0.2	Endpoint2	75.03440683
11	0.2	Endpoint2	68.75860171
11	0.2	Endpoint2	28.35122488
11	2	Endpoint2	93.1461602
11	2	Endpoint2	72.00660611
11	2	Endpoint2	106.9088907
11	2	Endpoint2	85.60418387
11	10	Endpoint2	119.1301954
11	10	Endpoint2	104.6518029
11	10	Endpoint2	97.05477567
11	10	Endpoint2	117.1483622
11	50	Endpoint2	316.1023947
11	50	Endpoint2	340.5450041
11	50	Endpoint2	281.4203138
11	50	Endpoint2	304.2113955
13	0	Endpoint2	73.66532077
13	0	Endpoint2	109.2866756
13	0	Endpoint2	86.85509197
13	0	Endpoint2	130.1929116
13	0.2	Endpoint2	85.06056528
13	0.2	Endpoint2	94.93046209
13	0.2	Endpoint2	95.10991476
13	0.2	Endpoint2	116.9134141
13	2	Endpoint2	108.1202333
13	2	Endpoint2	105.7873486
13	2	Endpoint2	81.47151189
13	2	Endpoint2	131.9874383
13	10	Endpoint2	140.1525348
13	10	Endpoint2	91.61058771
13	10	Endpoint2	95.91745177
13	10	Endpoint2	77.52355316
13	50	Endpoint2	96.63526245
13	50	Endpoint2	123.6428892
13	50	Endpoint2	131.4490803
13	50	Endpoint2	115.2086137
15	0	Endpoint2	104.3214974
15	0	Endpoint2	96.83457198
15	0	Endpoint2	93.91687311
15	0	Endpoint2	104.9270575
15	0.2	Endpoint2	56.64739884
15	0.2	Endpoint2	93.47646573
15	0.2	Endpoint2	92.04514176
15	0.2	Endpoint2	93.58656758
15	2	Endpoint2	78.447564
15	2	Endpoint2	90.77897055
15	2	Endpoint2	112.4139829
15	2	Endpoint2	40.90283512
15	10	Endpoint2	112.358932
15	10	Endpoint2	41.78364988
15	10	Endpoint2	59.12469034
15	10	Endpoint2	95.01789155
15	25	Endpoint2	155.463804
15	25	Endpoint2	158.2163501
15	25	Endpoint2	138.9485274
15	25	Endpoint2	160.5284889
10	0	Endpoint2	103.7936267
10	0	Endpoint2	109.8634294
10	0	Endpoint2	84.5436809
10	0	Endpoint2	101.799263
10	0.02	Endpoint2	98.15738131
10	0.02	Endpoint2	108.5627574
10	0.02	Endpoint2	122.1764578
10	0.02	Endpoint2	112.4647735
10	0.2	Endpoint2	129.9804899
10	0.2	Endpoint2	127.5525688
10	0.2	Endpoint2	162.4105788
10	0.2	Endpoint2	172.3823976
10	2	Endpoint2	213.5703447
10	2	Endpoint2	225.8833731
10	2	Endpoint2	215.0444396
10	2	Endpoint2	156.8610449
10	10	Endpoint2	232.2133102
10	10	Endpoint2	182.8744852
10	10	Endpoint2	195.7077824
10	10	Endpoint2	195.9679168
14	0	Endpoint2	103.7936267
14	0	Endpoint2	109.8634294
14	0	Endpoint2	84.5436809
14	0	Endpoint2	101.799263
14	0.2	Endpoint2	94.68892261
14	0.2	Endpoint2	103.7069152
14	0.2	Endpoint2	78.04032083
14	0.2	Endpoint2	71.7103837
14	2	Endpoint2	144.1144591
14	2	Endpoint2	129.5469326
14	2	Endpoint2	123.3037069
14	2	Endpoint2	86.10448732
14	10	Endpoint2	234.034251
14	10	Endpoint2	148.536744
14	10	Endpoint2	168.3936701
14	10	Endpoint2	141.3396922
14	50	Endpoint2	184.8688489
14	50	Endpoint2	207.7606763
14	50	Endpoint2	191.4589204
14	50	Endpoint2	149.6639931
17	0	Endpoint3	110.902048
17	0	Endpoint3	95.0747095
17	0	Endpoint3	97.4706208
17	0	Endpoint3	96.5526222
17	4	Endpoint3	64.44220189
17	4	Endpoint3	53.49132459
17	4	Endpoint3	64.53986132
17	4	Endpoint3	58.04876461
17	20	Endpoint3	46.07571861
17	20	Endpoint3	86.39604154
17	20	Endpoint3	60.14518702
17	20	Endpoint3	57.0461278
17	100	Endpoint3	56.64246883
17	100	Endpoint3	63.57628829
17	100	Endpoint3	88.66174029
17	100	Endpoint3	58.98629513
17	300	Endpoint3	69.45538592
17	300	Endpoint3	85.19157525
17	300	Endpoint3	67.30036785
17	300	Endpoint3	59.05140141
16	0	Endpoint3	110.902048
16	0	Endpoint3	95.0747095
16	0	Endpoint3	97.4706208
16	0	Endpoint3	96.5526222
16	4	Endpoint3	56.8833621
16	4	Endpoint3	58.2636154
16	4	Endpoint3	52.0394544
16	4	Endpoint3	55.0017904
16	20	Endpoint3	48.61486377
16	20	Endpoint3	62.46948143
16	20	Endpoint3	52.6514535
16	20	Endpoint3	54.33770631
16	100	Endpoint3	58.44591295
16	100	Endpoint3	65.45785996
16	100	Endpoint3	52.54077281
16	100	Endpoint3	75.15869657
16	300	Endpoint3	52.76213418
16	300	Endpoint3	54.98876917
16	300	Endpoint3	55.46404505
16	300	Endpoint3	63.3744588
2	0	Endpoint3	110.902048
2	0	Endpoint3	95.0747095
2	0	Endpoint3	97.4706208
2	0	Endpoint3	96.5526222
2	4	Endpoint3	52.5147303
2	4	Endpoint3	58.55659364
2	4	Endpoint3	57.94459455
2	4	Endpoint3	67.80819688
2	20	Endpoint3	47.54712067
2	20	Endpoint3	49.93652137
2	20	Endpoint3	51.83762492
2	20	Endpoint3	56.30391614
2	100	Endpoint3	55.86770403
2	100	Endpoint3	61.460334
2	100	Endpoint3	61.19339822
2	100	Endpoint3	81.23311306
2	300	Endpoint3	54.03170676
2	300	Endpoint3	57.92506266
2	300	Endpoint3	92.59415997
2	300	Endpoint3	55.00179042
9	0	Endpoint3	110.902048
9	0	Endpoint3	95.0747095
9	0	Endpoint3	97.4706208
9	0	Endpoint3	96.5526222
9	4	Endpoint3	53.0616231
9	4	Endpoint3	51.9352844
9	4	Endpoint3	64.6961164
